,id,rated,variant,speed,perf,createdAt,lastMoveAt,status,winner,moves,players.white.user.name,players.white.user.id,players.white.rating,players.white.ratingDiff,players.black.user.name,players.black.user.id,players.black.rating,players.black.ratingDiff,opening.eco,opening.name,opening.ply,clock.initial,clock.increment,clock.totalTime,players.white.provisional,players.black.provisional,players.black.user.patron,initialFen,players.white.aiLevel,players.black.aiLevel,players.white.user.patron
0,iDKUxwrW,True,standard,blitz,blitz,2023-01-24 23:48:21.972000+00:00,2023-01-24 23:55:19.681000+00:00,outoftime,white,e4 g6 Bc4 c5 c3 Bg7 d4 cxd4 cxd4 e6 e5 Ne7 Bg5 O-O Qd2 Re8 Bh6 Bh8 Nc3 Qa5 f4 Nbc6 Nf3 Nf5 Bg5 a6 Bf6 b5 Bd3 b4 Ne4 Ncxd4 Bxh8 Nxf3+ gxf3 Kxh8 Nf6 Rd8 O-O d6 Qg2 dxe5 fxe5 Rxd3 Qh3 Qc5+ Kh1 h6 Rac1 Qe3 Rce1 Qg5 Rg1,Caladb0lg,caladb0lg,1349.0,5.0,Chess_KSA,chess_ksa,1304.0,-7.0,B06,Modern Defense,2.0,180.0,2.0,260.0,,,,,,,
1,JfozNSMT,True,standard,blitz,blitz,2023-01-24 23:41:38.495000+00:00,2023-01-24 23:47:34.206000+00:00,mate,white,d4 Nf6 c4 e6 Nc3 Bb4 Bd2 b6 Qa4 Bxc3 Bxc3 Bb7 Nf3 Ne4 Qc2 O-O e3 d6 Bd3 Nxc3 Qxc3 d5 cxd5 Bxd5 O-O-O Bxa2 b3 Qd5 Bc4 Qa5 Qxa5 bxa5 Kb2 Bxb3 Bxb3 Nc6 Rc1 Rab8 Rxc6 a4 Rxc7 axb3 Rxa7 Rfc8 Ng1 Rc2+ Ka3 g6 Nf3 b2 Rb1 Rc1 Rxb2 Ra1+ Ra2 Rxa2+ Kxa2 Rc8 Kb3 Rb8+ Kc4 Rb2 Ne5 f6 Nd7 Kg7 d5 exd5+ Kxd5 Rxf2 Ke6 Rxg2 Nxf6+ Kh6 Rxh7+ Kg5 h4#,theprete97,theprete97,1260.0,8.0,Caladb0lg,caladb0lg,1356.0,-7.0,E20,Nimzo-Indian Defense,6.0,180.0,2.0,260.0,,,,,,,
2,rf6zZLiF,True,standard,blitz,blitz,2023-01-24 23:23:39.656000+00:00,2023-01-24 23:31:17.331000+00:00,outoftime,white,e4 c5 Bc4 e6 Nc3 Nc6 Nf3 Nf6 b3 d5 exd5 exd5 Qe2+ Be7 Bb5 O-O Bb2 Re8 O-O-O a6 Bd3 d4 Ne4 Bf5 Nxf6+ Bxf6 Qf1 Bxd3 Qxd3 Nb4 Qc4 Nxa2+ Kb1 Qa5 c3 b5 Qxc5 dxc3 dxc3 Nxc3+ Bxc3 Bxc3 Kc2 Rac8 Qxc8 Rxc8 Kd3 Rd8+ Ke4 Rxd1 Rxd1 h6 Rd3 b4 Ne5 Qc7 Nf3 a5 Nh4,Caladb0lg,caladb0lg,1350.0,6.0,veryshahram,veryshahram,1348.0,-6.0,B20,Sicilian Defense: Bowdler Attack,3.0,180.0,2.0,260.0,,,,,,,
3,Yd6M4WKB,True,standard,blitz,blitz,2023-01-24 22:41:50.748000+00:00,2023-01-24 22:51:03.494000+00:00,mate,white,d4 Nf6 c4 e6 Nc3 Bb4 Nf3 O-O a3 Bxc3+ bxc3 d6 e3 Ne4 Qc2 Nd7 Qxe4 d5 cxd5 exd5 Qxd5 c6 Qb3 b5 c4 bxc4 Bxc4 Rb8 Qc2 Bb7 O-O c5 Be2 cxd4 Nxd4 Ne5 Qd1 Qd5 Bf3 Nxf3+ Nxf3 Qe6 Qe2 Ba6 Nd4 Qg6 Qf3 Bxf1 Kxf1 Rb1 Rxb1 Qxb1 Qd1 h6 Ke2 Qa2+ Bd2 Qc4+ Ke1 Rd8 Qc1 Qd5 Qc6 Qxg2 Ke2 Qg4+ f3 Qg2+ Kd3 Qf1+ Ke4 Qb1+ Qc2 Qb7+ Qc6 Qe7+ Kd3 Rd6 Qc8+ Kh7 Qf5+ g6 Qe4 Re6 Nxe6 fxe6 Ke2 Qxa3 Qxe6 Qc5 Qf7+ Kh8 Qf6+ Kh7 Bc3 Qb5+ Kf2 Qd3 Qg7#,ASlyPawn,aslypawn,1406.0,5.0,Caladb0lg,caladb0lg,1355.0,-5.0,E21,Nimzo-Indian Defense: Three Knights Variation,7.0,180.0,2.0,260.0,,,,,,,
4,inm9tEy4,True,standard,blitz,blitz,2023-01-24 22:36:02.498000+00:00,2023-01-24 22:40:01.513000+00:00,mate,white,e4 e5 Bc4 Nc6 Nc3 Nf6 d4 exd4 Nd5 Nxd5 Bxd5 Bc5 Qh5 O-O Nf3 Ne7 Ng5 h6 Nxf7 Bb4+ Bd2 Bxd2+ Kxd2 Qe8 Nd6+ Kh8 Nxe8 Rxf2+ Kd3 Nxd5 exd5 Rf8 Rae1 b6 Rhf1 Ba6+ c4 b5 Rxf8+ Kh7 Qf5+ g6 Qf7#,Caladb0lg,caladb0lg,1349.0,6.0,khurshud,khurshud,1348.0,-6.0,C28,"Vienna Game: Stanley Variation, Three Knights Variation",6.0,180.0,2.0,260.0,,,,,,,
5,gQlIzSsH,True,standard,blitz,blitz,2023-01-24 21:44:38.371000+00:00,2023-01-24 21:51:59.078000+00:00,mate,white,e4 c6 Bc4 d5 Bb3 dxe4 Qh5 g6 Qh4 Nf6 Nc3 Bg7 Nxe4 Nxe4 Qxe4 O-O Nf3 Bf5 Qh4 Na6 Ng5 h5 d3 Nc5 Bxf7+ Kh8 Be3 Nxd3+ cxd3 Qxd3 Rd1 Qc2 O-O Bxb2 Bb3 Qe2 Bd4+ Bxd4 Rxd4 Rad8 Rxd8 Rxd8 Ne6 Rd6 Qxe7 Bxe6 Qf8+ Kh7 Qe7+ Kh6 Qf8+ Kh7 Qe7+ Kh6 Qxd6 Bxb3 axb3 Qb5 Qf4+ Kh7 Qe3 a5 g3 Qa6 Qe7+ Kh6 Qf8+ Kh7 Qf7+ Kh6 Re1 a4 Re6 a3 Qxg6#,Caladb0lg,caladb0lg,1344.0,5.0,waderoberts123,waderoberts123,1319.0,-6.0,B10,"Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit",7.0,180.0,2.0,260.0,,,,,,,
6,MzldOR9b,True,standard,blitz,blitz,2023-01-24 21:36:34.909000+00:00,2023-01-24 21:44:16.907000+00:00,mate,black,e4 d5 d3 dxe4 dxe4 Qxd1+ Kxd1 e5 Nc3 Nf6 Nf3 Bg4 Be2 Nc6 h3 O-O-O+ Bd2 Bh5 g4 Bg6 Bd3 Nd4 Nxd4 exd4 Nd5 Bxe4 Nxf6 Bxh1 Bf5+ Kb8 Ke2 gxf6 Rxh1 Re8+ Kd3 Bc5 b4 Bb6 Bd7 Rd8 Bf5 Rhe8 Bxh7 c5 bxc5 Bxc5 Ba5 Rd6 Be4 Ra6 Bd2 Rxa2 Rb1 Ra3+ Kc4 Rxe4 Bb4 Bxb4 Rxb4 Ra2 Kb3 Ra1 Kb2 Rf1 c3 Rxf2+ Kb3 Rf3 Rxd4 Rxd4 Kc2 Rdd3 c4 Rxh3 c5 Rdg3 Kd2 Rh2+ Ke1 Rg1#,poliszon,poliszon,1332.0,-6.0,Caladb0lg,caladb0lg,1338.0,6.0,B01,Scandinavian Defense,2.0,180.0,2.0,260.0,,,,,,,
7,cr8pcFkZ,True,standard,blitz,blitz,2023-01-24 21:31:49.133000+00:00,2023-01-24 21:36:29.343000+00:00,resign,white,c4 d6 Nc3 e6 e4 b6 d4 Bb7 d5 Nd7 g3 g6 Bg2 Bg7 Nge2 Ne7 O-O a6 f4 h6 dxe6 fxe6 Nd4 e5 Ne6 Qb8 Nxg7+ Kd8 Ne6+ Kc8 Nd5 Nxd5 exd5 c6 dxc6 Bxc6 Bxc6 Ra7 Bxd7+ Kxd7 Qd5 exf4 Nxf4 Rf8 Nxg6 Rxf1+ Kxf1 Qe8 Nf4 Qf8 Be3 Kd8 Bxb6+ Kd7,Ahmedredaa12,ahmedredaa12,1374.0,5.0,Caladb0lg,caladb0lg,1344.0,-6.0,A10,English Opening,1.0,180.0,2.0,260.0,,,,,,,
8,jcthtL0c,True,standard,blitz,blitz,2023-01-24 21:25:36.017000+00:00,2023-01-24 21:28:37.558000+00:00,resign,white,e4 e5 Bc4 Nc6 Nc3 Bc5 Qg4 Qf6 Nd5 Qxf2+ Kd1 b5 Nh3 Nh6 Qxg7 Rg8 Qxh6 Kd8 Nxf2,Caladb0lg,caladb0lg,1338.0,6.0,RohanParsan118,rohanparsan118,1341.0,-6.0,C25,"Vienna Game: Stanley Variation, Meitner-Mieses Gambit",9.0,180.0,2.0,260.0,,,,,,,
9,ljNA1bXi,True,standard,blitz,blitz,2023-01-24 19:09:13.638000+00:00,2023-01-24 19:17:15.540000+00:00,resign,black,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 b6 e3 Bb7 Be2 O-O Nf3 Bxc3+ Qxc3 Ne4 Qc2 f5 Bd3 d6 O-O Nd7 Nd2 Ndf6 f3 Ng5 f4 Nf7 Nf3 Bxf3 Rxf3 Ng4 h3 Nf6 b3 c5 Bb2 cxd4 exd4 d5 Re1 Re8 Kh2 Ne4 Bxe4 dxe4 Rg3 Qd6 d5 g6 Qc3 e5 fxe5 Qxe5 Qxe5 Nxe5 Bxe5 Rxe5 d6 Rd8 Rd1 Re6 Rd5 Rexd6 Rxd6 Rxd6 Re3 Rd2 a4 Kf7 Rc3 Ke6 c5 bxc5 Rxc5 Rb2 Rb5 g5 b4 e3 a5 e2 Rb7 e1=Q Rxh7 Qe2,Stormzy228,stormzy228,1305.0,-6.0,Caladb0lg,caladb0lg,1333.0,5.0,E32,Nimzo-Indian Defense: Classical Variation,7.0,180.0,2.0,260.0,,,,,,,
