game_id,king_w,queen_w,rooks_w,bishops_w,knights_w,pawns_w,king_b,queen_b,rooks_b,bishops_b,knights_b,pawns_b
iDKUxwrW,0,0,0,1,0,3,1,0,1,0,2,2
JfozNSMT,2,2,5,2,1,1,0,0,3,4,1,3
rf6zZLiF,0,3,1,1,1,2,0,0,2,3,2,2
Yd6M4WKB,1,3,1,1,3,2,0,3,0,2,1,4
inm9tEy4,1,0,1,1,2,1,0,0,1,1,2,1
gQlIzSsH,0,4,2,1,1,2,0,1,1,4,2,1
MzldOR9b,1,0,3,1,2,2,0,1,5,4,0,3
cr8pcFkZ,1,0,0,3,3,3,1,0,1,1,1,2
jcthtL0c,0,2,0,0,1,0,0,1,0,0,0,0
ljNA1bXi,0,2,4,2,0,2,0,1,3,2,1,3
YOuvkVPL,0,2,2,3,2,0,0,1,0,2,0,3
8jcNTnC2,1,0,3,2,4,1,0,2,1,1,0,4
pLNkUfWx,0,2,0,0,0,2,0,1,1,1,2,1
ft6fWFaq,0,5,1,0,2,4,1,1,1,2,1,3
swaLrojK,0,2,1,1,1,3,0,1,1,2,1,1
07KigwO6,0,1,1,1,0,2,0,0,1,2,1,3
UTbyYhFe,0,1,0,0,1,2,0,2,1,1,1,0
AONYs99u,0,0,0,0,0,3,0,1,1,1,1,2
6X7AeXfX,1,0,0,1,0,2,0,1,0,1,2,1
cFbKQ3KF,0,0,1,0,2,3,0,2,0,1,1,2
qzpotiCJ,0,0,3,0,5,3,2,0,2,3,1,3
MTEk5kxu,0,1,1,2,2,3,0,2,0,1,3,2
NdW2pmvz,1,3,0,1,2,2,1,4,0,0,2,4
tbU9KPoe,0,1,0,2,0,2,0,3,0,0,1,1
7Zgc9X4F,0,2,2,2,0,5,1,2,1,2,2,0
wolSbAOW,1,3,0,5,2,1,0,0,3,1,1,3
4MeD82og,0,0,0,1,0,0,0,1,0,0,0,1
83I9rcMJ,0,3,0,1,2,1,0,5,0,0,2,1
mQPI1n9U,0,5,0,3,4,1,0,5,0,2,0,0
nv1kW7M3,0,1,1,1,2,2,0,0,3,3,5,1
zSN4ZR07,0,1,2,1,2,3,0,2,4,2,0,4
GSQFzhpe,0,0,4,1,2,3,0,1,2,1,2,1
wFn28P8I,0,1,0,2,1,1,0,2,0,0,1,2
Gv218hiI,0,2,0,1,2,1,1,0,0,1,1,2
OXWN8lme,0,0,0,2,0,1,0,1,0,0,1,1
QprFL1bc,0,2,0,1,0,0,0,0,0,1,2,1
mUkI1svm,0,2,0,0,1,0,0,0,0,0,1,1
guPSyHiI,1,1,0,6,3,1,2,0,4,0,0,4
ySSvPiA0,1,0,4,2,2,5,2,1,5,3,2,2
GNV2ZlJb,1,1,3,2,0,3,0,1,0,2,2,1
ofvc1Znk,2,2,2,2,1,1,0,1,3,1,2,4
joBMmgrg,0,1,0,2,1,2,0,4,2,0,1,2
qstNDZIs,0,3,1,0,0,1,0,1,0,1,1,3
TqvkmrXG,0,0,0,2,0,0,0,2,0,0,0,0
kTbgby2O,0,0,0,1,0,1,0,2,0,1,2,0
dQnV6dIl,0,0,0,0,3,0,0,1,0,1,0,1
6klzh7zd,0,6,1,2,1,1,2,1,2,2,2,3
WmCmtPr6,0,3,2,2,1,1,0,4,2,0,2,3
JYgsUcFQ,0,1,1,1,2,1,0,4,0,1,1,1
IId2CqcP,0,2,2,3,2,0,1,1,0,1,1,3
NRE7KUkQ,0,2,0,0,2,1,0,0,0,1,2,1
I61dPElT,0,8,1,1,3,1,2,1,1,1,1,2
POTsgEAD,2,3,4,3,0,1,1,0,1,2,1,3
k3kL4Rvm,0,2,1,3,2,1,1,0,1,1,1,4
H8PYLiYl,0,0,0,0,1,1,0,1,0,0,2,0
h2YxEIYZ,1,0,2,1,2,2,0,3,0,3,1,4
ztyWMZtT,0,10,1,1,2,1,3,1,4,1,1,2
TpMbtYB5,0,1,0,1,0,4,0,4,0,2,2,0
ZEjWuNhc,0,4,0,1,0,1,0,1,0,1,2,0
4MbTfINa,2,2,6,0,1,2,0,1,5,2,3,2
S3YM7s3b,0,3,0,2,3,2,0,5,1,1,2,2
mFCWZrsc,0,0,5,1,4,3,2,2,6,1,3,1
FieAYtKo,0,0,0,1,1,0,0,2,0,0,0,0
yyJKe1H0,0,1,2,3,1,2,0,0,0,1,1,6
IICIBwCZ,1,2,5,1,3,2,1,1,4,3,2,3
nljgh2m7,0,1,4,2,3,1,2,2,2,1,2,1
c7gr3FBz,0,4,0,1,1,2,1,1,2,1,1,4
jzog8hPR,0,0,0,1,0,2,0,0,0,0,0,3
1lsCVv7d,1,0,0,3,3,2,0,4,4,1,1,2
6oCxh04n,1,0,3,3,3,3,1,0,0,3,2,5
ZOpEAa3A,0,0,1,0,2,1,0,3,1,1,0,3
QBy4sbcp,0,2,0,1,0,0,1,0,0,0,0,1
xgF0duiY,4,1,1,5,1,3,3,1,3,1,2,4
evNFi0jQ,0,0,0,0,1,3,0,3,0,1,2,0
6xz0zZ3D,1,2,1,2,1,1,1,4,4,1,1,1
FuamjVQC,0,1,1,2,1,3,0,1,1,4,2,2
cW0Fd1hp,0,0,0,0,1,0,0,0,0,0,0,0
CTz097F8,0,0,0,1,2,4,1,0,0,1,0,3
5P9Obs42,0,0,0,0,1,0,0,0,0,0,0,0
UPZHncG5,0,0,0,0,1,0,0,0,0,0,0,1
eKlKWfBB,3,2,5,0,0,2,0,4,1,2,1,1
Kqdfkr2F,1,1,2,1,1,2,0,4,0,0,1,3
