game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
iDKUxwrW,0,0,0,0,0,1,0,0,1,0
JfozNSMT,0,1,0,1,0,0,4,0,0,1
rf6zZLiF,1,0,0,1,0,0,1,0,2,0
Yd6M4WKB,4,0,0,0,0,9,0,1,1,0
inm9tEy4,1,1,0,1,0,0,1,3,0,0
gQlIzSsH,8,0,2,0,0,0,0,0,1,0
MzldOR9b,0,0,1,0,0,1,4,0,0,1
cr8pcFkZ,0,0,2,2,0,0,1,0,0,0
jcthtL0c,0,0,0,0,0,1,0,0,0,0
ljNA1bXi,0,0,0,0,0,0,0,1,0,0
YOuvkVPL,0,1,0,0,0,0,0,0,0,0
8jcNTnC2,0,1,1,2,1,1,0,1,0,1
pLNkUfWx,0,0,0,0,0,0,0,0,0,0
ft6fWFaq,7,1,0,1,0,0,1,1,0,0
swaLrojK,3,2,0,0,1,0,0,0,0,0
07KigwO6,0,2,0,0,0,0,0,0,0,0
UTbyYhFe,0,0,0,0,0,0,0,0,0,0
AONYs99u,0,0,0,0,0,1,3,0,0,0
6X7AeXfX,0,0,0,0,0,1,0,1,4,0
cFbKQ3KF,0,0,0,0,0,0,0,0,0,0
qzpotiCJ,0,1,0,4,0,0,0,1,0,0
MTEk5kxu,2,1,0,0,0,1,0,1,0,0
NdW2pmvz,4,6,0,1,1,1,1,0,3,2
tbU9KPoe,0,0,0,1,0,1,0,0,0,0
7Zgc9X4F,2,2,0,0,0,1,0,0,0,0
wolSbAOW,3,0,2,0,0,0,1,1,1,0
4MeD82og,0,0,0,0,0,0,0,0,0,0
83I9rcMJ,0,0,0,0,0,4,0,0,0,0
mQPI1n9U,9,0,1,3,1,0,0,0,0,0
nv1kW7M3,1,1,0,4,0,0,1,0,1,0
zSN4ZR07,0,1,3,1,0,1,0,0,0,0
GSQFzhpe,0,2,0,0,0,0,0,0,0,0
wFn28P8I,0,0,0,0,0,0,0,0,1,0
Gv218hiI,1,1,0,0,0,0,0,2,0,0
OXWN8lme,1,0,0,0,0,0,0,0,0,0
QprFL1bc,0,0,0,0,0,0,0,0,1,0
mUkI1svm,0,0,0,0,0,0,0,0,0,0
guPSyHiI,0,0,0,0,0,1,1,1,0,0
ySSvPiA0,0,0,0,0,0,1,1,0,0,1
GNV2ZlJb,0,1,1,0,0,2,0,0,0,0
ofvc1Znk,1,1,0,0,0,0,5,0,0,1
joBMmgrg,1,0,0,0,0,1,0,0,0,0
qstNDZIs,3,1,0,1,0,0,0,0,0,0
TqvkmrXG,0,0,0,0,0,0,0,0,0,0
kTbgby2O,0,0,1,0,0,0,0,0,0,0
dQnV6dIl,0,0,0,1,0,0,0,0,0,0
6klzh7zd,7,0,0,1,1,0,1,1,1,0
WmCmtPr6,2,1,0,0,0,2,1,0,0,0
JYgsUcFQ,0,0,1,0,0,3,1,0,0,0
IId2CqcP,1,2,2,0,0,1,0,0,0,0
NRE7KUkQ,0,0,0,0,0,0,0,0,0,0
I61dPElT,11,6,0,1,0,0,0,0,0,0
POTsgEAD,2,1,0,1,0,0,0,0,0,1
k3kL4Rvm,2,2,0,2,0,0,0,0,1,0
H8PYLiYl,0,0,0,0,0,1,0,0,1,0
h2YxEIYZ,0,0,0,0,0,3,3,1,0,1
ztyWMZtT,5,0,0,0,0,0,4,1,0,0
TpMbtYB5,0,0,0,0,0,7,2,3,1,0
ZEjWuNhc,2,0,1,0,0,1,0,0,0,0
4MbTfINa,0,3,0,0,0,0,2,1,0,1
S3YM7s3b,0,0,1,0,0,0,0,0,0,0
mFCWZrsc,0,7,0,2,0,2,12,0,0,0
FieAYtKo,0,0,1,0,0,0,0,0,0,0
yyJKe1H0,1,3,2,2,0,0,0,0,0,0
IICIBwCZ,0,4,0,1,0,0,4,3,0,0
nljgh2m7,1,6,4,0,2,3,1,0,0,0
c7gr3FBz,2,1,0,0,0,1,0,0,0,1
jzog8hPR,3,1,0,0,0,0,0,0,0,0
1lsCVv7d,0,0,1,1,0,0,2,0,0,0
6oCxh04n,0,0,0,2,0,0,0,1,4,0
ZOpEAa3A,0,0,0,0,0,1,0,2,0,0
QBy4sbcp,3,0,1,1,0,0,0,0,0,0
xgF0duiY,0,0,3,0,1,1,3,0,1,2
evNFi0jQ,0,0,0,0,0,1,0,0,0,0
6xz0zZ3D,0,3,0,1,0,3,2,1,1,1
FuamjVQC,0,0,0,0,0,0,0,0,0,0
cW0Fd1hp,0,0,0,1,0,0,0,0,0,0
CTz097F8,0,0,0,0,0,1,0,0,0,0
5P9Obs42,0,0,0,0,0,0,0,0,0,0
UPZHncG5,0,0,0,0,0,0,0,0,0,0
eKlKWfBB,1,4,1,0,0,4,3,1,0,2
Kqdfkr2F,1,1,0,0,0,1,1,0,0,0
oqPxFPo6,0,0,1,1,0,1,0,0,0,0
fotQstg0,2,1,1,0,0,0,0,0,0,0
