game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
iDKUxwrW,0,0,0,0,0,0,0,0,0,0
JfozNSMT,0,0,0,0,1,0,0,0,0,0
rf6zZLiF,0,0,0,0,0,0,0,0,0,0
Yd6M4WKB,1,0,0,0,0,0,0,0,0,0
inm9tEy4,1,0,0,0,0,0,0,0,0,0
gQlIzSsH,1,0,0,0,0,0,0,0,0,0
MzldOR9b,0,0,0,0,0,0,1,0,0,0
cr8pcFkZ,0,0,0,0,0,0,0,0,0,0
jcthtL0c,0,0,0,0,0,0,0,0,0,0
ljNA1bXi,0,0,0,0,0,0,0,0,0,0
YOuvkVPL,1,0,0,0,0,0,0,0,0,0
8jcNTnC2,0,1,0,0,0,0,0,0,0,0
pLNkUfWx,0,0,0,0,0,0,0,0,0,0
ft6fWFaq,0,1,0,0,0,0,0,0,0,0
swaLrojK,1,0,0,0,0,0,0,0,0,0
07KigwO6,0,0,0,0,0,0,0,0,0,0
UTbyYhFe,0,0,0,0,0,0,0,0,0,0
AONYs99u,0,0,0,0,0,1,0,0,0,0
6X7AeXfX,0,0,0,0,0,0,0,0,0,0
cFbKQ3KF,0,0,0,0,0,0,0,0,0,0
qzpotiCJ,0,0,0,0,0,0,0,0,0,0
MTEk5kxu,0,1,0,0,0,0,0,0,0,0
NdW2pmvz,0,1,0,0,0,0,0,0,0,0
tbU9KPoe,0,0,0,0,0,0,0,0,0,0
7Zgc9X4F,0,0,0,0,0,0,0,0,0,0
wolSbAOW,0,0,0,0,0,0,0,0,0,0
4MeD82og,0,0,0,0,0,0,0,0,0,0
83I9rcMJ,0,0,0,0,0,0,0,0,0,0
mQPI1n9U,0,1,0,0,0,0,0,0,0,0
nv1kW7M3,0,0,0,0,0,0,1,0,0,0
zSN4ZR07,0,0,0,0,0,0,0,0,0,0
GSQFzhpe,0,0,0,0,0,0,0,0,0,0
wFn28P8I,0,0,0,0,0,0,0,0,0,0
Gv218hiI,0,0,0,0,0,0,0,0,0,0
OXWN8lme,0,0,0,0,0,0,0,0,0,0
QprFL1bc,0,0,0,0,0,0,0,0,0,0
mUkI1svm,1,0,0,0,0,0,0,0,0,0
guPSyHiI,0,0,0,0,0,0,0,0,0,0
ySSvPiA0,0,0,0,0,0,0,0,0,0,0
GNV2ZlJb,0,0,0,0,0,0,0,0,0,0
ofvc1Znk,0,0,0,0,0,0,0,0,0,0
joBMmgrg,0,0,0,0,0,0,0,0,0,0
qstNDZIs,1,0,0,0,0,0,0,0,0,0
TqvkmrXG,0,0,0,0,0,1,0,0,0,0
kTbgby2O,0,0,0,0,0,0,0,0,0,0
dQnV6dIl,0,0,0,0,0,1,0,0,0,0
6klzh7zd,0,0,0,0,0,0,0,0,0,0
WmCmtPr6,0,0,0,0,0,0,0,0,0,0
JYgsUcFQ,0,0,0,0,0,0,0,0,0,0
IId2CqcP,0,1,0,0,0,0,0,0,0,0
NRE7KUkQ,0,0,0,0,0,0,0,0,0,0
I61dPElT,0,1,0,0,0,0,0,0,0,0
POTsgEAD,0,0,0,0,0,0,0,0,0,0
k3kL4Rvm,1,0,0,0,0,0,0,0,0,0
H8PYLiYl,0,0,0,0,0,0,0,0,0,0
h2YxEIYZ,0,0,0,0,0,0,0,0,0,0
ztyWMZtT,0,0,0,0,0,0,0,0,0,0
TpMbtYB5,0,0,0,0,0,0,0,0,0,0
ZEjWuNhc,0,0,0,0,0,0,0,0,0,0
4MbTfINa,0,1,0,0,0,0,0,0,0,0
S3YM7s3b,0,0,0,0,0,0,0,0,0,0
mFCWZrsc,0,0,0,0,0,0,0,0,0,0
FieAYtKo,0,0,0,0,0,0,0,0,0,0
yyJKe1H0,0,0,0,0,0,0,0,0,0,0
IICIBwCZ,0,0,0,0,0,0,0,0,0,0
