game_id,king_w,queen_w,rooks_w,bishops_w,knights_w,pawns_w,king_b,queen_b,rooks_b,bishops_b,knights_b,pawns_b
iDKUxwrW,3,5,7,13,12,11,3,9,9,2,15,12
JfozNSMT,11,8,29,6,21,10,5,6,29,12,12,11
rf6zZLiF,8,9,11,8,21,6,2,5,15,10,15,14
Yd6M4WKB,11,37,3,8,18,10,5,45,15,12,15,13
inm9tEy4,2,8,13,5,21,7,4,1,14,8,15,7
gQlIzSsH,2,29,18,15,15,6,11,12,9,15,15,11
MzldOR9b,10,0,18,22,15,13,1,7,38,17,9,9
cr8pcFkZ,3,4,2,11,30,13,5,6,10,3,9,10
jcthtL0c,1,7,0,3,12,2,1,6,1,3,6,4
ljNA1bXi,3,6,30,7,12,18,4,4,19,10,30,17
YOuvkVPL,2,6,13,8,18,9,0,5,2,6,9,15
8jcNTnC2,4,0,35,14,21,13,6,14,20,14,9,12
pLNkUfWx,2,7,2,8,6,7,2,4,5,6,15,5
ft6fWFaq,2,27,16,12,15,16,13,10,9,14,12,12
swaLrojK,3,23,16,11,21,15,6,3,16,16,18,13
07KigwO6,2,8,15,10,27,7,4,6,5,12,12,14
UTbyYhFe,0,2,1,2,9,8,2,5,8,5,15,3
AONYs99u,2,3,0,9,9,8,2,6,7,5,12,6
6X7AeXfX,6,0,0,6,6,7,2,7,3,8,21,4
cFbKQ3KF,2,5,19,8,15,12,2,7,2,14,15,11
qzpotiCJ,7,0,21,9,45,16,12,5,30,19,15,18
MTEk5kxu,2,5,15,7,12,9,3,8,3,9,15,8
NdW2pmvz,9,21,43,11,21,11,10,20,18,3,30,14
tbU9KPoe,0,5,0,9,12,6,0,7,0,4,6,6
7Zgc9X4F,4,11,21,16,12,13,6,27,7,14,24,8
wolSbAOW,6,8,5,17,15,13,5,1,26,16,15,14
4MeD82og,0,0,0,3,12,5,0,5,0,6,3,3
83I9rcMJ,6,14,9,12,12,5,2,9,4,2,15,9
mQPI1n9U,2,41,13,14,45,14,18,11,4,18,15,13
nv1kW7M3,3,5,28,8,57,10,9,3,20,11,24,12
zSN4ZR07,4,5,19,26,18,11,10,7,17,7,15,11
GSQFzhpe,2,3,29,6,21,12,3,9,13,10,18,9
wFn28P8I,5,9,5,10,15,6,0,10,0,12,12,8
Gv218hiI,4,7,14,9,12,8,2,0,4,7,15,7
OXWN8lme,2,6,2,9,6,5,1,6,0,2,12,3
QprFL1bc,0,14,0,9,6,6,0,2,2,5,21,8
mUkI1svm,0,13,0,4,6,2,0,0,0,4,9,5
guPSyHiI,6,5,9,17,36,14,10,5,23,12,15,14
ySSvPiA0,21,0,22,14,24,12,9,7,44,18,18,21
GNV2ZlJb,4,6,26,14,9,10,6,10,6,12,18,5
ofvc1Znk,17,5,27,11,9,21,6,2,49,16,15,24
joBMmgrg,2,9,2,10,12,8,2,11,12,4,9,5
qstNDZIs,4,12,13,5,9,9,4,4,0,8,9,9
TqvkmrXG,2,5,6,8,6,5,2,9,2,2,12,6
kTbgby2O,2,1,2,7,21,11,2,5,3,8,15,7
dQnV6dIl,2,2,2,3,18,3,1,7,0,9,3,4
6klzh7zd,3,20,10,10,15,7,10,2,22,18,15,7
WmCmtPr6,6,18,28,14,24,9,2,33,14,6,30,11
JYgsUcFQ,2,4,9,15,12,14,3,21,14,8,12,6
IId2CqcP,2,4,27,25,15,6,3,4,8,14,12,9
NRE7KUkQ,2,10,2,6,12,5,2,2,3,3,24,8
I61dPElT,2,40,29,8,24,11,25,5,7,6,12,10
POTsgEAD,8,14,19,15,12,14,17,5,13,9,9,12
k3kL4Rvm,3,16,11,18,21,8,6,2,10,11,15,16
H8PYLiYl,0,1,0,3,9,4,0,4,0,0,15,2
h2YxEIYZ,19,7,15,13,15,11,6,11,19,17,18,15
ztyWMZtT,9,41,13,7,21,18,13,19,36,13,15,11
TpMbtYB5,10,4,5,4,9,18,2,18,8,13,18,5
ZEjWuNhc,3,16,2,11,21,6,4,7,3,9,21,7
4MbTfINa,10,3,39,3,9,11,6,5,39,11,21,15
S3YM7s3b,2,12,3,13,24,9,3,19,9,7,15,12
mFCWZrsc,22,1,68,12,36,22,17,8,63,15,27,18
FieAYtKo,0,0,3,10,6,3,1,13,0,0,3,2
yyJKe1H0,2,7,20,11,12,8,5,0,2,2,12,10
IICIBwCZ,15,4,46,7,27,16,12,9,39,27,12,16
nljgh2m7,5,6,29,18,21,10,13,24,14,6,24,7
c7gr3FBz,3,18,7,8,15,12,5,13,12,8,15,12
jzog8hPR,0,10,3,8,3,7,4,0,0,0,6,9
1lsCVv7d,6,1,7,16,30,9,3,15,28,10,15,8
6oCxh04n,10,0,24,13,24,12,4,3,0,22,36,15
ZOpEAa3A,4,2,7,6,15,8,2,12,13,13,12,7
QBy4sbcp,0,12,0,6,6,4,3,0,0,5,3,5
xgF0duiY,21,3,10,23,12,23,20,6,40,6,18,16
evNFi0jQ,4,5,4,3,9,8,3,8,3,7,15,6
6xz0zZ3D,6,4,23,10,18,7,4,23,18,7,15,8
FuamjVQC,2,4,8,16,15,14,2,4,7,16,18,11
cW0Fd1hp,0,3,0,3,9,2,0,2,0,3,3,3
CTz097F8,2,6,3,7,18,12,3,16,3,9,9,12
5P9Obs42,2,0,3,4,12,3,2,1,3,4,3,6
UPZHncG5,2,0,2,3,6,4,0,0,0,1,6,4
eKlKWfBB,11,8,33,20,12,9,8,18,22,13,15,16
Kqdfkr2F,6,8,29,9,18,17,4,16,11,4,24,11
oqPxFPo6,2,9,2,10,15,7,3,3,4,3,9,10
fotQstg0,1,22,15,10,18,12,7,13,10,4,24,12
sM1jIlHZ,6,24,13,8,21,5,6,22,15,16,9,8
4eeZGruU,3,8,18,16,27,10,4,14,17,15,15,10
9XCNPa18,2,4,9,19,9,9,4,2,2,6,21,11
xdCkvUt4,3,9,10,4,27,12,3,19,21,12,24,6
lDBODtYV,7,15,12,18,9,9,4,11,19,6,9,5
OL4SCGC3,5,9,13,9,27,8,2,5,10,9,9,10
ANmFP8IS,6,4,15,8,12,12,3,2,10,8,15,13
SsADSxQq,2,7,16,17,30,7,9,2,14,8,21,10
RtcYp8uI,3,0,3,10,6,8,2,6,3,5,9,8
8dXSDFLJ,5,7,7,14,15,15,4,0,8,18,9,12
WqqhchGq,4,15,13,11,21,13,7,1,24,13,12,18
vZx5OR4i,17,8,64,12,15,15,7,3,68,14,27,12
XQu7lETs,2,18,17,20,6,9,11,12,0,10,9,10
eYw3B10r,7,28,16,9,6,9,11,5,15,12,24,10
lMpXLtD6,2,1,22,16,15,13,5,8,18,8,15,12
wAdcKied,2,0,17,10,9,12,7,4,17,11,15,7
rSYmPSci,2,38,37,12,24,13,21,0,28,5,15,11
W5EtbHUz,0,10,0,6,6,4,1,0,0,5,3,5
0eeuk7yw,4,1,13,10,18,16,3,6,17,22,9,11
7XghDm51,2,9,14,16,12,8,2,5,14,14,9,10
IhwzRsta,4,0,2,14,18,12,2,23,8,8,9,13
w65ELLp5,3,15,15,15,15,8,4,19,11,6,24,6
MVIk8uWZ,2,10,27,11,21,8,5,16,10,4,18,12
3JlkEKoU,3,6,10,7,9,7,2,13,6,5,21,4
PQI1hMSs,8,1,5,12,33,11,2,6,33,14,21,6
GbXP2AAo,4,12,19,8,18,6,3,4,9,9,9,6
fAzuR3bC,39,0,75,7,18,21,26,24,72,7,21,24
HT4pDyLy,3,0,17,21,30,17,14,7,26,14,9,14
1wcRbbYS,10,8,0,14,12,8,2,18,7,9,24,5
